id,title,category,body,owner_id,last_reviewed_at
1,Grilled Ribeye Prep Guide,Recipe,"Bring ribeye to room temperature for 30 minutes before cooking. Season both sides generously with kosher salt and cracked black pepper. Sear on high heat for 3-4 minutes per side for medium-rare, then rest for 5 minutes before slicing against the grain.",1,2026-08-15
2,Walk-In Cooler Temperature Log SOP,SOP,"Check and record walk-in cooler temperature at the start of every shift. Acceptable range is 33-38F. Any reading outside this range must be logged as an incident and reported to the kitchen manager within 15 minutes. Do not store raw proteins above ready-to-eat items.",5,2025-11-02
3,Choux Pastry Base Recipe,Recipe,"Combine water, butter, and salt in a saucepan and bring to a rolling boil. Add flour all at once and stir vigorously until the mixture pulls away from the sides of the pan. Cool slightly, then beat in eggs one at a time until glossy and smooth.",3,2026-07-20
4,Knife Sharpening and Care SOP,SOP,"Hone knives before every shift using a honing steel at a 20-degree angle. Full sharpening should occur weekly using the whetstone station. Never place knives loose in a sink basin. Store all knives in the magnetic rack or designated slots only.",2,2025-03-11
5,Grease Fire Incident - March 2026,Incident Report,"A grease fire occurred on the grill line during dinner service on March 8th. The fire was contained using the Class K extinguisher within 90 seconds. No injuries reported. Root cause was an overfilled grease trap that had not been emptied per schedule. Grease trap emptying frequency increased to twice daily following this incident.",1,2026-03-09
6,New Hire Kitchen Orientation,Onboarding,"Welcome to the Hearthline kitchen team. All new hires must complete food safety certification within the first two weeks. Review station assignments with your shift lead, and familiarize yourself with the walk-in layout, fire suppression system location, and emergency exit routes before your first shift.",7,2024-09-01
7,Croissant Lamination Guide,Recipe,"Laminate butter into the dough using three single folds with 30-minute rests in the refrigerator between each fold. Keep the dough between 60-65F throughout the process to prevent butter from melting into the layers. Final proof should take place at room temperature for 2-3 hours before baking.",4,2026-06-10
8,Allergen Cross-Contact Prevention SOP,SOP,"Use color-coded cutting boards and utensils dedicated to allergen-free prep. Wash hands and change gloves between handling allergen and non-allergen items. All allergen substitutions must be communicated verbally to the pass and logged on the ticket. This SOP applies to all stations without exception.",6,2024-12-05
9,Slip and Fall Incident - January 2026,Incident Report,"A front of house server slipped near the pass due to a wet floor that had not been flagged with a caution sign. Minor injury, no missed work time. Wet floor signage now required any time the pass area is mopped during active service, with a designated runner responsible for placement.",8,2026-01-18
10,Weekly Line Check Prep SOP,SOP,"Every station must complete a line check 30 minutes before service. Verify mise en place quantities, check expiration dates on all prepped items, and confirm backup stock is pulled and labeled. Any shortages must be flagged to the sous chef immediately, not discovered mid-service.",10,2025-05-22
